instnm,city,stabbr,zip,latitude,longitude,adm_rate,sat_mid_read,sat_mid_math,act_mid_cumulative,act_mid_english,act_mid_math,act_mid_writing,sat_avg,ug_enrol,nprice_pub_cat1,nprice_pub_cat2,nprice_pub_cat3,nprice_pub_cat4,nprice_pub_cat5,nprice_pvt_cat1,nprice_pvt_cat2,nprice_pvt_cat3,nprice_pvt_cat4,nprice_pvt_cat5,avg_cost_attendance,completion_rate,grad_debt_median,grad_debt_med_LY,grad_debt_med_MY,grad_debt_med_HY,female,married,avg_familyincome,median_householdincome,median_earn_aftr6yr,number_gradstudent,zipcode,own_sc_low,parent_sc_low,own_sc_high,parent_sc_high,merge1
Caribbean University-Bayamon,Bayamon,PR,00960-0493,18.383136,-66.168315,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,636,NULL,NULL,NULL,NULL,NULL,2987,NULL,NULL,NULL,NULL,9136,0.2509,10750,6950,PrivacySuppressed,PrivacySuppressed,0.5554968288,0.0512684989,11130.437104,20253.19,18712,351,960,,,,,master only (1)
Caribbean University-Carolina,Carolina,PR,00985,18.380193,-65.960036,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,188,NULL,NULL,NULL,NULL,NULL,2970,NULL,NULL,NULL,NULL,9432,0.3333,10750,6950,PrivacySuppressed,PrivacySuppressed,0.5554968288,0.0512684989,11130.437104,20253.19,18712,12,985,,,,,master only (1)
Caribbean University-Ponce,Ponce,PR,00716-7733,18.006633,-66.59425,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,392,NULL,NULL,NULL,NULL,NULL,3033,NULL,NULL,NULL,NULL,9341,0.434,10750,6950,PrivacySuppressed,PrivacySuppressed,0.5554968288,0.0512684989,11130.437104,20253.19,18712,303,716,,,,,master only (1)
Caribbean University-Vega Baja,Vega Baja,PR,00964,18.444882,-66.40315,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,130,NULL,NULL,NULL,NULL,NULL,3539,NULL,NULL,NULL,NULL,9271,0.4198,10750,6950,PrivacySuppressed,PrivacySuppressed,0.5554968288,0.0512684989,11130.437104,20253.19,18712,12,964,,,,,master only (1)
Carleton College,Northfield,MN,55057,44.462318,-93.154666,0.2118,705,720,32,34,31,NULL,1438,1918,NULL,NULL,NULL,NULL,NULL,6208,13410,15991,22868,39882,74275,0.9379,17287,13000,14940,17500,0.4594594595,PrivacySuppressed,98790.641278,71070.84,48030,NULL,55057,1.7849,1.5069799,1.85833,1.56608,matched (3)
Carlow University,Pittsburgh,PA,15213-3165,40.439293,-79.963448,0.9446,540,520,22,21,20,NULL,1070,1274,NULL,NULL,NULL,NULL,NULL,16923,16143,19187,22744,27148,44201,0.5838,26998,22055,21255,19500,0.8467391304,0.1054347826,54453,52873.76,38794,699,15213,1.4439501,.98953998,1.68006,1.04084,matched (3)
Carnegie Mellon University,Pittsburgh,PA,15213-3890,40.44357,-79.941993,0.1727,730,780,34,35,34,NULL,1513,6539,NULL,NULL,NULL,NULL,NULL,16456,13608,21526,31094,52564,74489,0.9346,22014,19000,19500,19000,0.4725363489,PrivacySuppressed,107339.42973,81652.61,87824,6897,15213,1.83137,1.5869499,1.88366,1.5992399,matched (3)
Carolina Christian College,Winston Salem,NC,27105,36.146168,-80.256252,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,62,NULL,NULL,NULL,NULL,NULL,5830,8144,10013,NULL,NULL,14600,1,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,16713.210526,48527.11,27184,12,27105,,,,,master only (1)
Carolina College of Biblical Studies,Fayetteville,NC,28303-5157,35.05141,-78.939514,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,149,NULL,NULL,NULL,NULL,NULL,14612,20967,19310,21340,NULL,21340,0.6667,25750,13578,PrivacySuppressed,PrivacySuppressed,0.4955752212,0.5752212389,30477.902655,NULL,35185,18,28303,,,,,master only (1)
Carolina University,Winston-Salem,NC,27101,36.087962,-80.250153,0.4967,NULL,NULL,NULL,NULL,NULL,NULL,NULL,439,NULL,NULL,NULL,NULL,NULL,13205,12853,17315,20800,17542,22830,0.4615,14500,8250,9500,5598,0.4838709677,0.331797235,36265.387097,NULL,28038,508,27101,,,,,master only (1)
Carolinas College of Health Sciences,Charlotte,NC,28217,35.181863,-80.927508,0.3214,520,515,NULL,NULL,NULL,NULL,1035,508,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5,14250,10965,9500,9090,0.9108280255,0.1815286624,45023.621019,68067.04,53237,NULL,28217,,,,,matched (3)
Carroll College,Helena,MT,59625-0002,46.600771,-112.040285,0.7302,600,590,25,24,23,8,1199,1093,NULL,NULL,NULL,NULL,NULL,15994,19380,21482,22717,26629,50675,0.6723,25602,16250,22267,21275,0.6038461538,0.0269230769,95541.507692,55326.09,43187,8,59625,1.5366,1.37025,1.69175,1.39008,matched (3)
Carroll University,Waukesha,WI,53186,43.004527,-88.228114,0.7177,570,572,24,23,23,NULL,1165,2878,NULL,NULL,NULL,NULL,NULL,18113,18414,22237,24572,25164,45227,0.7015,27000,19000,22950,23000,0.6638846737,0.0182094082,86196.008346,73362.92,47398,494,53186,1.74034,1.34267,1.81286,1.38161,matched (3)
Carson-Newman University,Jefferson City,TN,37760,36.122934,-83.491709,0.7932,520,520,22,21,21,NULL,1107,1635,NULL,NULL,NULL,NULL,NULL,15092,16764,18610,19527,23584,40422,0.5205,22438,12500,15250,15000,0.5614213198,0.0375634518,58287.786802,53143.24,36708,1189,37760,1.59021,1.13775,1.72012,1.20066,matched (3)
Carthage College,Kenosha,WI,53140-1994,42.622969,-87.820924,0.7663,555,560,24,24,22,NULL,1148,2620,NULL,NULL,NULL,NULL,NULL,22550,24485,26106,27781,29677,59175,0.6236,26000,17500,19345,19500,0.5505535055,0.0169741697,93231.946863,76392.24,41811,126,53140,1.7289799,1.45032,1.81629,1.46201,matched (3)
Cascadia College,Bothell,WA,98011-8205,47.760915,-122.191572,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2044,7753,8227,9644,13459,14832,NULL,NULL,NULL,NULL,NULL,14832,0.3708,6216,5500,4433,5500,0.5022026432,0.1145374449,37109.127753,85119.58,44919,NULL,98011,1.7496901,1.355,1.78466,1.42091,matched (3)
Case Western Reserve University,Cleveland,OH,44106,41.507419,-81.609596,0.3027,685,745,33,32,33,9,1445,5360,NULL,NULL,NULL,NULL,NULL,16063,15570,19864,29971,43692,69526,0.8549,24501,20750,24696,21000,0.472095151,PrivacySuppressed,109857.69167,69873.4,65156,6035,44106,1.6540101,1.5351501,1.76105,1.55435,matched (3)
Castleton University,Castleton,VT,05735,43.608397,-73.180842,0.8831,525,515,19,18,19,7,1036,1651,13297,14587,17286,20982,22133,NULL,NULL,NULL,NULL,NULL,24841,0.5672,25000,14606,16373,15750,0.5093411996,0.0157325467,77163.708948,61392.97,37044,467,5735,1.6791199,1.14693,1.74431,1.17413,matched (3)
Catawba College,Salisbury,NC,28144,35.691443,-80.482751,0.5212,520,520,20,18,20,NULL,1038,1312,NULL,NULL,NULL,NULL,NULL,15146,17408,17449,19990,23792,44235,0.5552,25000,15000,15049,13692,0.5315568022,0.0855539972,62351.511921,60564.51,36659,31,28144,1.37059,1.20972,1.53246,1.24945,matched (3)
Catholic Distance University,Charles Town,WV,25414,39.287311,-77.859242,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,47073.375,NULL,NULL,103,25414,,,,,master only (1)
Catholic Theological Union at Chicago,Chicago,IL,60615-5698,41.797895,-87.585989,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,227,60615,,,,,master only (1)
Cazenovia College,Cazenovia,NY,13035,42.932489,-75.854882,0.7218,509,496,19,NULL,NULL,NULL,1003,747,NULL,NULL,NULL,NULL,NULL,15399,15588,19511,20619,26025,51761,0.5774,24981,13740,19863,15250,0.7395264117,0.0346083789,57863.056466,59343.88,37462,25,13035,1.60313,1.17296,1.71711,1.18231,matched (3)
Cedar Crest College,Allentown,PA,18104-6196,40.586318,-75.519221,0.5246,545,525,21,20,20,NULL,1072,1078,NULL,NULL,NULL,NULL,NULL,18652,21135,20750,22450,24804,52279,0.6235,27000,22500,25000,20000,0.955026455,0.1402116402,53203.805556,66384.94,45441,345,18104,1.6286401,1.23706,1.7545,1.29539,matched (3)
Cedarville University,Cedarville,OH,45314-0601,39.749237,-83.814692,0.5933,625,605,27,28,25,NULL,1251,3566,NULL,NULL,NULL,NULL,NULL,15439,18961,19056,23874,26982,42318,0.7376,21500,15500,18148,17625,0.5336832896,0.0139982502,86503.28084,67472.37,39931,437,45314,1.72483,1.5359401,1.81609,1.55899,matched (3)
Centenary College of Louisiana,Shreveport,LA,71104,32.483335,-93.730834,0.6369,545,540,25,25,23,NULL,1191,552,NULL,NULL,NULL,NULL,NULL,20368,20686,20288,27938,24312,55300,0.5571,27000,10107,19250,16099,0.5142857143,PrivacySuppressed,77674.44898,58549.24,39447,11,71104,1.6848,1.3688,1.78004,1.40821,matched (3)
Centenary University,Hackettstown,NJ,07840,40.84764,-74.833644,0.93,508,490,19,18,17,NULL,997,1128,NULL,NULL,NULL,NULL,NULL,7072,11522,19911,22854,25257,44856,0.6207,23569,20000,20440,19823,0.6541916168,0.0479041916,72743.079341,87083.61,42284,439,7840,1.65909,1.45415,1.77723,1.5197001,matched (3)
Center for Advanced Studies On Puerto Rico and the Caribbean,San Juan,PR,00901,18.466567,-66.11841,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,507,901,,,,,master only (1)
Centra College,Lynchburg,VA,24501,37.4051,-79.174101,0.8182,NULL,NULL,NULL,NULL,NULL,NULL,NULL,314,NULL,NULL,NULL,NULL,NULL,35218,35218,17328,NULL,NULL,35218,NULL,14098,12409,11988,12000,0.9234972678,0.306010929,43906.437158,52002.66,47604,NULL,24501,,,,,master only (1)
Central Baptist College,Conway,AR,72034,35.083838,-92.445021,0.4981,495,495,20,20,19,NULL,1041,554,NULL,NULL,NULL,NULL,NULL,14864,14010,13823,17282,19856,26390,0.3846,24250,13620,15500,12125,0.4609929078,0.1654846336,51145.723404,50351.38,33652,NULL,72034,1.40439,1.21866,1.49454,1.21155,matched (3)
Central Christian College of Kansas,McPherson,KS,67460-5740,38.357978,-97.668597,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,561,NULL,NULL,NULL,NULL,NULL,15148,9290,14763,10911,13814,30742,0.2299,27000,11000,16125,18125,0.4773413897,0.2688821752,38494.26284,55393.39,34005,NULL,67460,,,,,master only (1)
Central Christian College of the Bible,Moberly,MO,65270-1997,39.395963,-92.427259,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,164,NULL,NULL,NULL,NULL,NULL,11056,11412,13516,15571,14471,24769,0.3704,18058,8824,11000,12000,0.3612903226,0.0903225806,48301.296774,57236.66,27381,13,65270,,1.10014,,1.0891401,matched (3)
Central College,Pella,IA,50219,41.401539,-92.922199,0.6368,539,544,22,21,22,NULL,1116,1091,NULL,NULL,NULL,NULL,NULL,15503,18512,19566,21995,23782,53402,0.6783,27000,20000,23250,23327,0.4896193772,PrivacySuppressed,89632.237024,59591.09,41571,NULL,50219,1.75144,1.30458,1.83075,1.31944,matched (3)
Central Connecticut State University,New Britain,CT,06050,41.692502,-72.765991,0.6485,535,525,22,20,21,7,1062,8402,12292,13248,16857,18877,21066,NULL,NULL,NULL,NULL,NULL,22518,0.5207,22000,16750,17251,15750,0.4913224151,0.03959912,64061.345637,75579.11,47806,2059,6050,1.60914,1.36334,1.81326,1.48719,matched (3)
Central Methodist University-College of Graduate and Extended Studies,Fayette,MO,65248-1198,39.150497,-92.685253,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1659,NULL,NULL,NULL,NULL,NULL,10456,NULL,NULL,16555,NULL,18200,NULL,16990,12500,12065,11668,0.6899563319,0.2980349345,49458.092249,49478.5,38713,306,65248,,,,,master only (1)
Central Methodist University-College of Liberal Arts and Sciences,Fayette,MO,65248-1198,39.150497,-92.685253,0.9534,505,505,21,20,20,NULL,1056,1141,NULL,NULL,NULL,NULL,NULL,23048,21087,24187,28590,28812,42630,0.4441,16990,12500,12065,11668,0.6899563319,0.2980349345,49458.092249,49478.5,38713,NULL,65248,1.62837,1.01489,1.68898,1.05834,matched (3)
Central Michigan University,Mount Pleasant,MI,48859,43.591203,-84.77525,0.6867,555,550,23,23,22,NULL,1113,12909,10805,12346,15720,18135,18725,NULL,NULL,NULL,NULL,NULL,25078,0.6358,27000,23250,23251,21500,0.592287234,0.0457446809,70473.800532,66048.2,42092,4280,48859,1.66298,1.28356,1.78698,1.3602999,matched (3)
Central State University,Wilberforce,OH,45384-1004,39.715787,-83.880186,0.5804,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4009,11115,12834,9015,13089,19769,NULL,NULL,NULL,NULL,NULL,19769,0.28,31000,9500,11000,12625,0.5495495495,PrivacySuppressed,31135.782282,48898.06,24928,NULL,45384,1.01328,.67610002,1.11856,.70731002,matched (3)
Central Washington University,Ellensburg,WA,98926,47.002687,-120.538368,0.8599,525,515,21,19,20,7,1045,10264,10796,12706,17235,21566,22466,NULL,NULL,NULL,NULL,NULL,24008,0.5835,20194,13168,13000,13000,0.5458908218,0.0869826035,59133.796241,63170.67,45565,656,98926,1.62009,1.31805,1.71646,1.38158,matched (3)
Central Yeshiva Beth Joseph,Brooklyn,NY,11230-6043,40.615411,-73.959386,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,11230,,,,,master only (1)
Central Yeshiva Tomchei Tmimim Lubavitz,Brooklyn,NY,11230-2798,40.669694,-73.938778,0.9524,NULL,NULL,NULL,NULL,NULL,NULL,NULL,513,NULL,NULL,NULL,NULL,NULL,16168,16000,17277,17351,18478,23867,0.1647,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,38438.199005,51407.65,25303,81,11230,,,,,master only (1)
Centralia College,Centralia,WA,98531-4099,46.715017,-122.960591,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1354,5026,6088,8431,10781,NULL,NULL,NULL,NULL,NULL,NULL,14805,0.4167,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.5987708516,0.1764705882,20373.266901,51494.45,32800,NULL,98531,.94398999,.98839003,1.19379,1.07152,matched (3)
Centre College,Danville,KY,40422-1394,37.645709,-84.779392,0.7208,610,610,29,30,27,NULL,1325,1333,NULL,NULL,NULL,NULL,NULL,12302,13778,18180,22196,28780,56645,0.8316,27000,22785,23000,26000,0.4708737864,PrivacySuppressed,106142.13107,64052.84,44830,NULL,40422,1.7380199,1.46158,1.8097301,1.4794101,matched (3)
Chadron State College,Chadron,NE,69337-2690,42.8199,-103.001615,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1651,13533,13026,14693,17222,17671,NULL,NULL,NULL,NULL,NULL,22030,0.4196,19295,10500,11813,13611,0.5778611632,0.1332082552,55112.464353,47191.79,35730,467,69337,1.52538,1.06813,1.64518,1.09937,matched (3)
Chaminade University of Honolulu,Honolulu,HI,96816-1578,21.28995,-157.807851,0.8897,540,510,21,20,21,NULL,1056,1623,NULL,NULL,NULL,NULL,NULL,28486,19740,21380,24340,23472,38649,0.5924,23235,15113,19725,21476,0.7130977131,0.2463617464,41390.179834,72476.63,41851,574,96816,1.5264699,1.37278,1.5707,1.41502,matched (3)
Champion Christian College,Hot Springs,AR,71913,34.499589,-93.065945,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78,NULL,NULL,NULL,NULL,NULL,9572,11965,NULL,15469,14569,15469,NULL,PrivacySuppressed,5500,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,71913,,,,,master only (1)
Champlain College,Burlington,VT,05401,44.473287,-73.202746,0.8515,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3389,NULL,NULL,NULL,NULL,NULL,23701,28413,32288,35315,38516,60478,0.6603,26000,17188,19431,20566,0.4702731655,0.2013926085,81158.048206,72226.81,44082,625,5401,,,,,master only (1)
Chapman University,Orange,CA,92866,33.79302,-117.852518,0.5826,630,630,28,29,27,9,1275,7231,NULL,NULL,NULL,NULL,NULL,34946,32071,38525,42077,50348,74336,0.8001,20500,18750,18000,16750,0.6474741988,0.0086909288,105779.20369,73437.32,53764,2357,92866,1.90175,1.69179,1.92381,1.70868,matched (3)
Charles R Drew University of Medicine and Science,Los Angeles,CA,90059,33.925658,-118.242791,0.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,239,NULL,NULL,NULL,NULL,NULL,22114,21326,26306,32421,33171,33171,0,18750,17844,14250,10750,0.6774193548,0.0967741935,36853.217742,55906.67,65724,631,90059,,,,,master only (1)
Charleston Southern University,Charleston,SC,29406-9121,32.983047,-80.072587,0.5379,550,530,22,22,21,NULL,1091,2698,NULL,NULL,NULL,NULL,NULL,15524,15230,18205,18881,19775,40177,0.4434,27000,16255,18945,18875,0.6288776086,0.0919345742,56175.941906,57179.15,34223,630,29406,1.3470401,1.165,1.52948,1.19366,matched (3)
Charlotte Christian College and Theological Seminary,Charlotte,NC,28227-9446,35.159664,-80.737194,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,7750,PrivacySuppressed,PrivacySuppressed,0.5689655172,0.4310344828,26044.482759,62379.52,20368,95,28227,,,,,master only (1)
Charter Oak State College,New Britain,CT,06053,41.688246,-72.767972,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1471,NULL,11872,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16369,NULL,18750,10528,15675,12500,0.7565698479,0.3347164592,43751.573997,63157.4,48463,96,6053,,,,,master only (1)
Chatham University,Pittsburgh,PA,15232,40.448432,-79.926083,0.6619,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1119,NULL,NULL,NULL,NULL,NULL,20348,23065,25304,28910,31977,52968,0.6176,22250,16821,18033,15250,0.7508833922,0.0759717314,68652.439929,56097.18,38686,995,15232,1.65303,1.2896,1.74423,1.29544,matched (3)
Chestnut Hill College,Philadelphia,PA,19118-2693,40.08678,-75.228742,0.7114,505,490,NULL,NULL,NULL,NULL,995,1051,NULL,NULL,NULL,NULL,NULL,19439,19917,21458,26809,33087,54599,0.5161,27000,20834,22875,21625,0.6711111111,0.0777777778,50413.306667,61319.18,40483,454,19118,1.7134,1.37526,1.75789,1.3757,matched (3)
Cheyney University of Pennsylvania,Cheyney,PA,19319-0200,39.932274,-75.529262,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,621,12547,9791,14512,16891,24513,NULL,NULL,NULL,NULL,NULL,24513,0.2707,21268,18677,18288,9500,0.4569892473,PrivacySuppressed,33413.053763,48189.72,27333,NULL,19319,1.35895,.66649002,1.43232,.71985,matched (3)
Chicago School of Professional Psychology at Dallas,Richardson,TX,75080-2208,32.979753,-96.75721,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20000,14313,14250,13250,NULL,NULL,NULL,NULL,45351,87,75080,,,,,master only (1)
Chicago School of Professional Psychology-College of Nursing,Richardson,TX,75080,32.979753,-96.75721,0.0364,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81,NULL,NULL,NULL,NULL,NULL,18954,19024,19634,20328,22105,NULL,0.3415,NULL,NULL,NULL,NULL,0.8879056047,0.3156342183,32663.976401,61794.19,NULL,NULL,75080,,,,,master only (1)
Chicago State University,Chicago,IL,60628-1598,41.718446,-87.609384,0.4642,465,392,17,18,17,NULL,887,1683,12685,12183,13678,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21867,0.1621,31000,23534,19500,14500,0.7038191738,0.075604053,21800.619641,51518.57,32382,959,60628,1.18655,.75138003,1.3764499,.78345001,matched (3)
Chicago Theological Seminary,Chicago,IL,60637,41.785701,-87.591178,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,294,60637,,,,,master only (1)
Chipola College,Marianna,FL,32446-2053,30.789228,-85.23139,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1340,460,2097,4298,4320,NULL,NULL,NULL,NULL,NULL,NULL,9030,0.4919,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.6189839572,0.1390374332,23355.049465,43641.3,26783,NULL,32446,.94325,.86217999,1.16185,.97671002,matched (3)
Chowan University,Murfreesboro,NC,27855,36.436258,-77.099141,0.6736,450,445,16,15,17,NULL,891,1098,NULL,NULL,NULL,NULL,NULL,15263,15301,17576,19247,25664,37161,0.3126,31000,13280,15250,12750,0.5121555916,0.017828201,35279.884927,53634.23,28994,NULL,27855,1.14948,.90445,1.3069299,.96337998,matched (3)
Christ Mission College,San Antonio,TX,78254-1000,29.543412,-98.70699,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,NULL,NULL,NULL,NULL,NULL,7842,8292,10867,NULL,NULL,13812,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78254,,,,,master only (1)
Christ the King Seminary,East Aurora,NY,14052-0607,42.77089,-78.660311,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,12,14052,,,,,master only (1)
Christian Brothers University,Memphis,TN,38104,35.127437,-89.983241,0.4994,NULL,NULL,24,26,23,NULL,1190,1374,NULL,NULL,NULL,NULL,NULL,9719,11036,12805,12834,13696,43939,0.567,27000,19000,19575,18738,0.5854037267,0.0931677019,56080.815217,61225.91,40236,370,38104,1.41927,1.21806,1.64227,1.3350199,matched (3)
Christian Theological Seminary,Indianapolis,IN,46208-3301,39.832673,-86.178551,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,PrivacySuppressed,NULL,156,46208,,,,,master only (1)
Christopher Newport University,Newport News,VA,23606-3072,37.062495,-76.494364,0.7642,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4745,15862,15990,21165,26574,30067,NULL,NULL,NULL,NULL,NULL,31733,0.7985,24739,20250,21500,19500,0.5952380952,PrivacySuppressed,109550.41204,79798.8,45822,110,23606,1.72912,1.59993,1.80072,1.6312799,matched (3)
Church Divinity School of the Pacific,Berkeley,CA,94709-1211,37.876184,-122.261122,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,71,94709,,,,,master only (1)
Cincinnati College of Mortuary Science,Cincinnati,OH,45224-1462,39.206578,-84.505604,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,20312,15000,15000,0.6666666667,0.15625,56124.65625,54707.33,45267,NULL,45224,,,,,master only (1)
Citadel Military College of South Carolina,Charleston,SC,29409,32.797183,-79.958775,0.7995,565,555,24,23,22,NULL,1139,2828,7451,12364,13358,21536,23308,NULL,NULL,NULL,NULL,NULL,30022,0.715,23000,17903,19500,18000,0.1184336199,0.0744985673,87515.068768,66736.53,55124,882,29409,1.5306799,1.38034,1.62613,1.39052,matched (3)
City College-Fort Lauderdale,Fort Lauderdale,FL,33309,26.187467,-80.1705,0.8889,NULL,NULL,NULL,NULL,NULL,NULL,NULL,215,NULL,NULL,NULL,NULL,NULL,17529,22762,23422,NULL,NULL,26642,0.2759,27249,18945,15485,13004,0.734204793,0.140885984,19433.695715,51554.73,29259,NULL,33309,,,,,master only (1)
City College-Gainesville,Gainesville,FL,32607,29.654852,-82.417302,0.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,159,NULL,NULL,NULL,NULL,NULL,18845,18877,20142,NULL,26395,26395,0.1778,27249,18945,15485,13004,0.734204793,0.140885984,19433.695715,51554.73,29259,NULL,32607,,,,,master only (1)
City College-Miami,Miami,FL,33156,25.683673,-80.316377,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,52,NULL,NULL,NULL,NULL,NULL,19905,NULL,NULL,NULL,NULL,28699,0.4167,27249,18945,15485,13004,0.734204793,0.140885984,19433.695715,51554.73,29259,NULL,33156,,,,,master only (1)
City University of Seattle,Seattle,WA,98121,47.617381,-122.344594,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,855,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25000,12807,13564,16875,0.6012658228,0.3575949367,40166.044304,67486.66,51381,1061,98121,,,,,master only (1)
City Vision University,Kansas City,MO,64106-3028,39.101164,-94.569475,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.5064935065,0.2337662338,14723.480519,NULL,NULL,28,64106,,,,,master only (1)
Claflin University,Orangeburg,SC,29115-4498,33.498444,-80.854319,0.6513,470,470,17,17,17,NULL,942,1961,NULL,NULL,NULL,NULL,NULL,20748,19776,21018,25475,26587,33777,0.4961,30000,20500,20000,23250,0.6700680272,0.0382653061,35314.848639,45792.28,29867,79,29115,.98932999,.71894002,1.1652,.74101001,matched (3)
Claremont Graduate University,Claremont,CA,91711-6160,34.103585,-117.713703,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.6,0.4285714286,45627.685714,68303.77,NULL,1949,91711,,,,,master only (1)
