School,Zip Code,City,State,Admissions Rate,Median ACT,Average SAT,# of Undergrads,Graduation Rate, Median Debt After Graduation , Median Salary (2-years post-graduation) ,Economic Connectedness
City Vision University,64106-3028,Kansas City,MO,Data Not Available,Data Not Available,Data Not Available,99,50.00%, Data Not Available , Data Not Available ,Data Not Available
Claflin University,29115-4498,Orangeburg,SC,65.13%,17,942,1961,49.61%," $30,000.00 "," $29,867.00 ",49.47%
Claremont Graduate University,91711-6160,Claremont,CA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Claremont Lincoln University,91711-4744,Claremont,CA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Claremont McKenna College,91711-6400,Claremont,CA,13.34%,33,1436,1262,92.28%," $15,000.00 "," $80,781.00 ",95.09%
Claremont School of Theology,91711-3199,Claremont,CA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Clarion University of Pennsylvania,16214,Clarion,PA,94.23%,Data Not Available,Data Not Available,3459,52.79%," $26,000.00 "," $36,024.00 ",75.45%
Clark Atlanta University,30314-4391,Atlanta,GA,59.05%,19,974,3092,42.35%," $27,000.00 "," $31,735.00 ",69.48%
Clark College,98663-3598,Vancouver,WA,Data Not Available,Data Not Available,Data Not Available,6292,33.68%," $11,206.00 "," $32,169.00 ",59.62%
Clark University,01610-1477,Worcester,MA,47.13%,30,1271,2205,74.91%," $26,000.00 "," $40,331.00 ",84.79%
